restaurant,city,totalScore,total_reviews,historical_stars_avg,window_size,recent_sentiment,sentiment_gap,significant,direction,positive_ratio,negative_ratio,recent_stars_avg
McDonald's (Newtown Rd),Norfolk,3.4,150,3.5,7,-0.5713001571571862,-1.251300157157186,True,declining,0.14285714285714285,0.7142857142857143,2.0
McDonald's (Newtown Rd),Norfolk,3.4,150,3.5,10,-0.09992544776405052,-0.7799254477640505,True,declining,0.4,0.5,2.8
No.1 Yummy,Virginia Beach,4.3,150,4.266666666666667,1,0.9999486830892224,0.13994868308922237,False,improving,1.0,0.0,5.0
No.1 Yummy,Virginia Beach,4.3,150,4.266666666666667,3,0.333354096991984,-0.526645903008016,True,declining,0.6666666666666666,0.3333333333333333,3.6666666666666665
No.1 Yummy,Virginia Beach,4.3,150,4.266666666666667,5,0.4000063867913015,-0.45999361320869847,True,declining,0.6,0.2,3.6
No.1 Yummy,Virginia Beach,4.3,150,4.266666666666667,7,0.571415845178396,-0.28858415482160393,True,declining,0.7142857142857143,0.14285714285714285,3.857142857142857
No.1 Yummy,Virginia Beach,4.3,150,4.266666666666667,10,0.4999946600272088,-0.36000533997279116,True,declining,0.6,0.1,3.8
OMEGA BAR,Virginia Beach,4.3,150,4.166666666666667,1,-0.9998311926424835,-1.8598311926424835,True,declining,0.0,1.0,2.0
OMEGA BAR,Virginia Beach,4.3,150,4.166666666666667,3,4.78415984222219e-05,-0.8599521584015778,True,declining,0.3333333333333333,0.3333333333333333,3.0
OMEGA BAR,Virginia Beach,4.3,150,4.166666666666667,5,5.1341885550537646e-05,-0.8599486581144494,True,declining,0.4,0.4,3.0
OMEGA BAR,Virginia Beach,4.3,150,4.166666666666667,7,0.2857362181465887,-0.5742637818534113,True,declining,0.5714285714285714,0.2857142857142857,3.5714285714285716
OMEGA BAR,Virginia Beach,4.3,150,4.166666666666667,10,0.49999990007167455,-0.36000009992832543,True,declining,0.7,0.2,4.0
Pho 79,Virginia Beach,3.8,131,3.7786259541984735,1,0.9999484087991841,0.2399484087991841,False,improving,1.0,0.0,4.0
Pho 79,Virginia Beach,3.8,131,3.7786259541984735,3,0.9999484087991841,0.2399484087991841,False,improving,1.0,0.0,4.333333333333333
Pho 79,Virginia Beach,3.8,131,3.7786259541984735,5,0.9999485039563861,0.23994850395638612,True,improving,1.0,0.0,4.4
Pho 79,Virginia Beach,3.8,131,3.7786259541984735,7,0.9999485159529053,0.23994851595290534,True,improving,1.0,0.0,4.571428571428571
Pho 79,Virginia Beach,3.8,131,3.7786259541984735,10,0.7999705236626221,0.039970523662622104,False,stable,0.9,0.1,4.3
Pho VA (Formerly Phuong Lien Bakery),Virginia Beach,4.1,41,4.146341463414634,1,-0.999832801755298,-1.819832801755298,True,declining,0.0,1.0,1.0
